,after_t1,after_t2,after_t3,after_t4,after_t5
sentiment,100.0,63.67,63.67,50.67,58.0
spelling,,100.0,100.0,91.33,91.33
capital,,,100.0,67.67,67.67
plural,,,,100.0,95.33
antonym,,,,,100.0
