task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,48.4,-0.65
xor_quadrant,51.0,14.75,-36.25
circle,48.75,27.1,-21.65
diagonal,50.65,16.1,-34.55
vertical,0.0,0.0,0.0
