step,gov_loss,loss_new,loss_old,sparse_cost,ewc_cost,delta_cost,phase_scale,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,2.003546714782715,0.6854645013809204,0.5403509736061096,0.042928945273160934,0.803452730178833,1.8483481407165527,131.66666666666666,0.5072,0.0021,0.5022,0.5163,0.0,0.0
50,1.8811166286468506,1.514505386352539,0.37914392352104187,0.000674125796649605,0.42875874042510986,1.1373472213745117,131.66666666666666,0.3258,0.0076,0.243,0.3456,0.0,0.0
100,1.3387784957885742,0.8592159748077393,0.7045547366142273,0.07690642774105072,0.01071819569915533,0.065980464220047,131.66666666666666,0.0228,0.0078,0.0032,0.0457,1.0,0.0
150,1.1465423107147217,0.631596565246582,0.0,0.07876625657081604,0.0,0.036308951675891876,131.66666666666666,0.0199,0.0041,0.0003,0.0301,1.0,0.0
200,1.3257486820220947,0.6367062926292419,0.0,0.07789955288171768,0.0,0.050758276134729385,131.66666666666666,0.0211,0.004,0.0003,0.0357,1.0,0.0
250,1.2339290380477905,0.7223404049873352,0.0,0.0789385512471199,0.0,0.032242387533187866,131.66666666666666,0.0186,0.0031,0.0002,0.0278,1.0,0.0
300,1.1508638858795166,0.9650132656097412,0.311496376991272,0.08237207680940628,-0.0015987257938832045,0.0027661705389618874,131.66666666666666,0.0123,0.0047,0.0005,0.0532,1.0,0.0
350,1.3071045875549316,0.7616174221038818,0.0,0.07790278643369675,0.0,0.06137413531541824,131.66666666666666,0.0201,0.0034,0.0001,0.1016,0.9999,0.0
