,after_t1,after_t2,after_t3,after_t4,after_t5
diagonal,99.3,74.95,85.65,75.75,49.95
horizontal,,99.9,61.5,72.6,51.1
vertical,,,87.2,72.9,50.0
xor_quadrant,,,,69.4,50.8
circle,,,,,74.9
