task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,26.15,-22.9
vertical,51.0,19.3,-31.7
circle,48.75,17.35,-31.4
diagonal,50.65,21.95,-28.7
xor_quadrant,0.0,0.0,0.0
