,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.35,56.8,49.05,75.55,72.2
vertical,,92.65,50.3,73.9,73.35
circle,,,76.85,52.15,59.5
diagonal,,,,98.55,76.6
xor_quadrant,,,,,69.6
