task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.70628,53.64,1.442
horizontal,1,2,0.62643,86.37,1.24
horizontal,1,3,0.52293,87.73,1.787
horizontal,1,4,0.36455,93.24,1.67
horizontal,1,5,0.21109,97.18,1.678
vertical,2,1,1.04688,52.62,1.527
vertical,2,2,0.77548,56.81,1.622
vertical,2,3,0.57903,65.59,1.948
vertical,2,4,0.42533,79.97,1.237
vertical,2,5,0.28951,90.18,1.312
circle,3,1,0.90763,51.54,1.256
circle,3,2,0.70277,53.91,1.247
circle,3,3,0.61373,62.84,1.349
circle,3,4,0.56871,73.78,1.316
circle,3,5,0.54398,76.3,1.199
diagonal,4,1,0.53232,72.95,1.204
diagonal,4,2,0.37334,90.34,1.28
diagonal,4,3,0.27217,92.47,1.234
diagonal,4,4,0.1966,95.32,1.191
diagonal,4,5,0.13808,97.63,1.192
xor_quadrant,5,1,1.20455,58.72,1.232
xor_quadrant,5,2,0.79779,66.7,1.317
xor_quadrant,5,3,0.657,68.08,1.273
xor_quadrant,5,4,0.61325,68.96,1.191
xor_quadrant,5,5,0.59276,69.76,1.191
