step,gov_loss,loss_new,loss_old,sparse_cost,ewc_cost,delta_cost,phase_scale,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,2.003760814666748,0.68544602394104,0.5403468608856201,0.04299311339855194,0.8026947379112244,1.8488409519195557,131.66666666666666,0.5074,0.0021,0.502,0.5168,0.0,0.0
50,1.8798227310180664,1.5151116847991943,0.379107266664505,0.0006906376802362502,0.4213671088218689,1.1375930309295654,131.66666666666666,0.3261,0.0091,0.2451,0.3488,0.0,0.0
100,1.341732382774353,0.8591974973678589,0.7045460939407349,0.0755145326256752,0.005650970619171858,0.08055359125137329,131.66666666666666,0.0253,0.0101,0.0012,0.0521,1.0,0.0
150,1.1467256546020508,0.6320288181304932,0.0,0.07937747985124588,0.0,0.03316865861415863,131.66666666666666,0.0188,0.0056,0.0002,0.0346,1.0,0.0
200,1.3259073495864868,0.6372286081314087,0.0,0.07883952558040619,0.0,0.039107032120227814,131.66666666666666,0.0194,0.0057,0.0003,0.0363,1.0,0.0
250,1.2346460819244385,0.7230775356292725,0.0,0.0796014741063118,0.0,0.027871273458003998,131.66666666666666,0.0175,0.0043,0.0002,0.0286,1.0,0.0
300,1.1517325639724731,0.9650137424468994,0.31149864196777344,0.08255627006292343,-0.0024896205868571997,0.0039990609511733055,131.66666666666666,0.0119,0.005,0.0004,0.0451,1.0,0.0
350,1.3069981336593628,0.761368989944458,0.0,0.07776850461959839,0.0,0.06386056542396545,131.66666666666666,0.0203,0.0042,0.0001,0.1857,0.9999,0.0
