task,forgetting_phase1,forgetting_phase2,delta
circle,49.05,21.3,-27.75
vertical,51.0,33.3,-17.7
diagonal,48.75,14.25,-34.5
horizontal,50.65,16.9,-33.75
xor_quadrant,0.0,0.0,0.0
