,after_t1,after_t2,after_t3,after_t4,after_t5
circle,77.4,50.6,52.75,48.2,56.1
vertical,,98.8,75.75,50.9,65.5
diagonal,,,96.35,76.8,82.1
horizontal,,,,99.0,82.1
xor_quadrant,,,,,65.9
