task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,28.2,-20.85
vertical,51.0,19.75,-31.25
circle,48.75,21.2,-27.55
diagonal,50.65,21.35,-29.3
xor_quadrant,0.0,0.0,0.0
