,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.5,56.75,50.3,75.15,71.3
vertical,,94.0,49.15,75.7,74.25
circle,,,77.15,49.9,55.95
diagonal,,,,99.1,77.75
xor_quadrant,,,,,66.75
