,after_t1,after_t2,after_t3,after_t4,after_t5
vertical,100.0,46.7,48.8,74.05,48.95
circle,,97.8,50.1,48.75,50.55
horizontal,,,99.1,75.15,50.95
diagonal,,,,99.4,49.8
xor_quadrant,,,,,98.75
