,after_t1,after_t2,after_t3,after_t4,after_t5
vertical,99.9,51.25,48.85,75.25,49.5
circle,,98.6,49.8,50.3,49.35
horizontal,,,99.35,74.15,49.4
diagonal,,,,99.6,48.85
xor_quadrant,,,,,99.05
