,after_t1,after_t2,after_t3,after_t4,after_t5
vertical,98.15,83.85,74.95,50.95,49.35
xor_quadrant,,47.6,51.4,51.0,49.6
diagonal,,,94.3,50.0,74.4
circle,,,,75.0,50.2
horizontal,,,,,99.75
