task,forgetting_phase1,forgetting_phase2,delta
vertical,49.05,48.8,-0.25
xor_quadrant,51.0,1.8,-49.2
diagonal,48.75,19.9,-28.85
circle,50.65,24.8,-25.85
horizontal,0.0,0.0,0.0
