task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,32.05,-17.0
xor_quadrant,51.0,0.0,-51.0
diagonal,48.75,19.75,-29.0
vertical,50.65,24.85,-25.8
circle,0.0,0.0,0.0
