,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.35,49.95,48.6,75.3,71.45
vertical,,99.5,49.65,74.15,71.4
circle,,,77.5,51.5,59.25
diagonal,,,,99.0,73.95
xor_quadrant,,,,,69.55
