task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.62941,78.62,1.353
horizontal,1,2,0.3022,96.4,0.987
horizontal,1,3,0.10691,98.57,0.91
horizontal,1,4,0.05912,98.94,1.015
horizontal,1,5,0.03978,99.19,1.016
vertical,2,1,0.96747,66.88,1.019
vertical,2,2,0.2174,92.51,0.873
vertical,2,3,0.0949,97.46,1.043
vertical,2,4,0.05675,98.67,0.886
vertical,2,5,0.03983,99.13,0.866
circle,3,1,1.12545,51.6,0.82
circle,3,2,0.5338,76.23,0.878
circle,3,3,0.51041,76.3,0.874
circle,3,4,0.48709,76.3,0.876
circle,3,5,0.45241,76.3,0.845
diagonal,4,1,0.47487,77.61,0.845
diagonal,4,2,0.21941,93.78,0.845
diagonal,4,3,0.09896,98.15,0.834
diagonal,4,4,0.06089,99.15,0.834
diagonal,4,5,0.04462,99.21,0.809
xor_quadrant,5,1,1.1212,66.61,0.817
xor_quadrant,5,2,0.60991,68.29,0.797
xor_quadrant,5,3,0.59001,68.71,0.961
xor_quadrant,5,4,0.57598,69.05,0.98
xor_quadrant,5,5,0.55757,69.54,0.966
