task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,27.9,-21.15
vertical,51.0,28.1,-22.9
circle,48.75,18.25,-30.5
diagonal,50.65,25.05,-25.6
xor_quadrant,0.0,0.0,0.0
