task,forgetting_phase1,forgetting_phase2,delta
circle,49.05,25.25,-23.8
vertical,51.0,48.6,-2.4
xor_quadrant,48.75,14.7,-34.05
diagonal,50.65,23.05,-27.6
horizontal,0.0,0.0,0.0
