task,initial_accuracy,best_accuracy,final_accuracy,forgetting
circle,75.5,75.5,50.25,25.25
vertical,98.0,98.0,49.4,48.6
xor_quadrant,64.35,64.35,49.65,14.7
diagonal,97.5,97.5,74.45,23.05
horizontal,99.7,99.7,99.7,0.0
