step,gov_loss,loss_new,loss_old,sparse_cost,ewc_cost,delta_cost,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,1.173645257949829,0.7885860204696655,0.5347631573677063,0.08011659234762192,1.2491778135299683,0.07429210096597672,0.4831,0.0045,0.4696,0.5013,0.0,0.0
50,1.1587086915969849,0.2853158116340637,0.2510519325733185,0.006487817503511906,0.44012874364852905,0.04395391419529915,0.2813,0.0121,0.2413,0.3309,0.0,0.0
100,1.2664580345153809,0.6646256446838379,0.6819960474967957,0.0017749174730852246,0.37356624007225037,0.004509992431849241,0.1587,0.0159,0.1069,0.283,0.0,0.0
150,1.1350536346435547,0.7996399402618408,0.6397829055786133,0.001736464211717248,0.2775009274482727,0.017514487728476524,0.1579,0.0299,0.0784,0.4129,0.0056,0.0
200,1.174965500831604,1.1746697425842285,0.17303793132305145,0.0010454297298565507,0.3814786672592163,0.01613708585500717,0.1686,0.0625,0.0401,0.5531,0.0757,0.0
