task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.69053,57.9,1.614
horizontal,1,2,0.6035,93.71,1.068
horizontal,1,3,0.47031,99.1,1.059
horizontal,1,4,0.29209,98.95,1.221
horizontal,1,5,0.15976,98.89,1.188
vertical,2,1,1.16867,50.98,1.252
vertical,2,2,0.83322,55.48,1.228
vertical,2,3,0.6179,62.92,1.204
vertical,2,4,0.45975,77.05,1.176
vertical,2,5,0.32729,88.46,1.164
circle,3,1,0.88746,49.92,1.169
circle,3,2,0.71548,52.54,1.165
circle,3,3,0.62648,61.67,1.222
circle,3,4,0.57767,72.89,1.2
circle,3,5,0.55249,76.08,1.183
diagonal,4,1,0.57518,69.66,1.166
diagonal,4,2,0.4143,91.14,1.157
diagonal,4,3,0.28333,94.29,1.165
diagonal,4,4,0.18848,96.62,1.245
diagonal,4,5,0.12964,98.11,1.229
xor_quadrant,5,1,1.16631,58.28,1.21
xor_quadrant,5,2,0.75504,66.32,1.209
xor_quadrant,5,3,0.63872,67.5,1.198
xor_quadrant,5,4,0.60626,68.28,1.219
xor_quadrant,5,5,0.58886,68.84,1.242
