task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,26.75,-22.3
vertical,51.0,21.7,-29.3
circle,48.75,18.35,-30.4
diagonal,50.65,24.35,-26.3
xor_quadrant,0.0,0.0,0.0
