,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.4,55.95,51.1,75.2,72.65
vertical,,93.25,50.0,74.0,71.55
circle,,,74.9,50.2,56.55
diagonal,,,,98.85,74.5
xor_quadrant,,,,,69.35
