,after_t1,after_t2,after_t3,after_t4,after_t5
diagonal,99.05,75.3,92.1,76.05,49.95
horizontal,,99.35,70.65,73.3,51.1
vertical,,,77.95,71.0,50.0
xor_quadrant,,,,67.9,50.8
circle,,,,,74.9
