,after_t1,after_t2,after_t3,after_t4,after_t5
vertical,96.4,50.0,51.25,74.05,71.45
circle,,74.9,51.95,50.15,56.45
horizontal,,,97.55,75.15,72.65
diagonal,,,,98.7,74.5
xor_quadrant,,,,,69.25
