task,forgetting_phase1,forgetting_phase2,delta
vertical,49.05,24.95,-24.1
circle,51.0,18.45,-32.55
horizontal,48.75,24.9,-23.85
diagonal,50.65,24.2,-26.45
xor_quadrant,0.0,0.0,0.0
