task,initial_accuracy,best_accuracy,final_accuracy,forgetting
xor_quadrant,64.0,64.0,49.95,14.05
diagonal,97.2,97.2,76.85,20.35
vertical,99.6,99.6,51.8,47.8
circle,75.5,75.5,52.05,23.45
horizontal,96.7,96.7,96.7,0.0
