task,forgetting_phase1,forgetting_phase2,delta
xor_quadrant,49.05,14.05,-35.0
diagonal,51.0,20.35,-30.65
vertical,48.75,47.8,-0.95
circle,50.65,23.45,-27.2
horizontal,0.0,0.0,0.0
