task,phase,epoch,train_loss,train_accuracy,epoch_seconds
xor_quadrant,1,1,0.43536,79.28,0.578
xor_quadrant,1,2,0.06729,97.62,0.385
xor_quadrant,1,3,0.04426,98.57,0.399
xor_quadrant,1,4,0.03716,98.46,0.379
xor_quadrant,1,5,0.03054,98.76,0.389
vertical,2,1,0.27425,94.47,0.37
vertical,2,2,0.01801,99.47,0.388
vertical,2,3,0.01696,99.48,0.371
vertical,2,4,0.01306,99.59,0.367
vertical,2,5,0.01599,99.49,0.364
horizontal,3,1,0.50272,87.23,0.352
horizontal,3,2,0.02373,99.5,0.367
horizontal,3,3,0.02434,99.31,0.376
horizontal,3,4,0.02093,99.38,0.371
horizontal,3,5,0.01676,99.46,0.424
diagonal,4,1,0.27468,92.02,0.425
diagonal,4,2,0.02844,99.24,0.398
diagonal,4,3,0.02016,99.37,0.405
diagonal,4,4,0.02678,99.02,0.418
diagonal,4,5,0.02344,99.18,0.418
circle,5,1,0.94947,68.96,0.379
circle,5,2,0.29503,88.46,0.37
circle,5,3,0.0855,96.9,0.364
circle,5,4,0.06352,97.65,0.368
circle,5,5,0.04532,98.32,0.363
