task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.61254,63.64,1.454
horizontal,1,2,0.49958,86.88,1.148
horizontal,1,3,0.35616,92.81,1.194
horizontal,1,4,0.21243,97.3,1.207
horizontal,1,5,0.11817,99.29,1.162
vertical,2,1,1.30214,51.5,1.248
vertical,2,2,1.01245,53.87,1.23
vertical,2,3,0.80203,57.58,1.251
vertical,2,4,0.63712,63.0,1.249
vertical,2,5,0.52307,69.82,1.261
circle,3,1,0.81398,52.49,1.266
circle,3,2,0.68831,56.26,1.245
circle,3,3,0.61603,57.72,1.267
circle,3,4,0.57177,67.45,1.243
circle,3,5,0.54681,75.67,1.237
diagonal,4,1,0.53853,67.71,1.236
diagonal,4,2,0.41302,89.59,1.226
diagonal,4,3,0.3275,91.59,1.289
diagonal,4,4,0.25858,93.76,1.253
diagonal,4,5,0.20146,96.42,1.297
xor_quadrant,5,1,1.07532,58.76,1.221
xor_quadrant,5,2,0.83426,66.97,1.305
xor_quadrant,5,3,0.71121,68.75,1.192
xor_quadrant,5,4,0.63571,69.26,1.727
xor_quadrant,5,5,0.59615,69.85,1.406
