,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.25,75.7,51.1,76.15,74.0
vertical,,75.2,50.4,74.75,73.3
circle,,,77.5,55.35,61.1
diagonal,,,,97.85,77.4
xor_quadrant,,,,,69.7
