task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,25.25,-23.8
vertical,51.0,1.9,-49.1
circle,48.75,16.4,-32.35
diagonal,50.65,20.45,-30.2
xor_quadrant,0.0,0.0,0.0
