task,phase,epoch,train_loss,train_accuracy,epoch_seconds
vertical,1,1,0.20181,92.82,0.75
vertical,1,2,0.0311,99.15,0.52
vertical,1,3,0.0154,99.53,0.414
vertical,1,4,0.0418,98.67,0.427
vertical,1,5,0.01546,99.47,0.429
xor_quadrant,2,1,0.95229,62.23,0.413
xor_quadrant,2,2,0.1691,93.59,0.411
xor_quadrant,2,3,0.05835,97.92,0.386
xor_quadrant,2,4,0.04759,98.09,0.446
xor_quadrant,2,5,0.03486,98.6,0.441
diagonal,3,1,0.3415,86.86,0.398
diagonal,3,2,0.05582,98.1,0.386
diagonal,3,3,0.03205,98.93,0.411
diagonal,3,4,0.02344,99.2,0.421
diagonal,3,5,0.03013,98.97,0.427
circle,4,1,0.79603,72.28,0.4
circle,4,2,0.15701,95.4,0.412
circle,4,3,0.07218,97.32,0.41
circle,4,4,0.06359,97.49,0.414
circle,4,5,0.05522,97.75,0.43
horizontal,5,1,0.31602,91.69,0.424
horizontal,5,2,0.03912,98.85,0.423
horizontal,5,3,0.02177,99.39,0.415
horizontal,5,4,0.01563,99.59,0.417
horizontal,5,5,0.02201,99.25,0.41
