,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.75,47.3,52.65,73.65,48.6
vertical,,99.85,51.3,73.7,48.45
circle,,,77.05,52.15,50.8
diagonal,,,,99.6,48.75
xor_quadrant,,,,,97.5
