phase,batch,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,0,0.022019507363438606,0.01624322682619095,0.011630214750766754,0.41039690375328064,0.9980868697166443,0.0
1,78,0.02399950660765171,0.01599900797009468,0.0014723262283951044,0.4076836407184601,0.9980868697166443,0.0
1,0,0.02171728014945984,0.015508024021983147,0.001350029488094151,0.3976825773715973,0.9980868697166443,0.0
1,78,0.023482607677578926,0.015452204272150993,0.0012045708717778325,0.4053591787815094,0.9980868697166443,0.0
1,0,0.023478437215089798,0.01547468826174736,0.0012002319563180208,0.4063507914543152,0.9980868697166443,0.0
1,78,0.021279996261000633,0.014360538683831692,0.0009058585856109858,0.40071672201156616,0.9980868697166443,0.0
1,0,0.02189120650291443,0.01459916029125452,0.0009727524593472481,0.395921915769577,0.9980868697166443,0.0
1,78,0.02017749473452568,0.013960192911326885,0.0008224639459513128,0.3958519399166107,0.9980868697166443,0.0
1,0,0.024918224662542343,0.014943394809961319,0.000995380338281393,0.41229578852653503,0.9980868697166443,0.0
1,78,0.02787286974489689,0.014993092976510525,0.0009800133993849158,0.4162418246269226,0.9980868697166443,0.0
2,0,0.01142143364995718,0.011952584609389305,0.0004875698359683156,0.3393014967441559,0.9980868697166443,0.0
2,78,0.01166423037648201,0.011527293361723423,0.0005229926900938153,0.3205689787864685,0.9980868697166443,0.0
2,0,0.01218199823051691,0.011493873782455921,0.0004955475451424718,0.32261353731155396,0.9980868697166443,0.0
2,78,0.013340417295694351,0.011430361308157444,0.0004901044303551316,0.3329252004623413,0.9980868697166443,0.0
2,0,0.012998624704778194,0.011376668699085712,0.0004535649495664984,0.3389769494533539,0.9980868697166443,0.0
2,78,0.013728920370340347,0.012210876680910587,0.00043271956383250654,0.3487073481082916,0.9980868697166443,0.0
2,0,0.012537036091089249,0.010780339129269123,0.0004077015910297632,0.3264850974082947,0.9980868697166443,0.0
2,78,0.009604568593204021,0.00874978769570589,0.0003516794240567833,0.2806771993637085,0.998144805431366,0.0
2,0,0.013920178636908531,0.011436140164732933,0.00044238162809051573,0.3348022401332855,0.9980868697166443,0.0
2,78,0.012290051206946373,0.010416094213724136,0.00044858662295155227,0.3161475360393524,0.9980868697166443,0.0
3,0,0.012521345168352127,0.012411958537995815,0.0005704823415726423,0.3563013970851898,0.9980868697166443,0.0
3,78,0.01643303968012333,0.01333249919116497,0.0008665922214277089,0.3640765845775604,0.9980868697166443,0.0
3,0,0.013005046173930168,0.011204946786165237,0.0006842065486125648,0.3471190333366394,0.9980868697166443,0.0
3,78,0.013855521567165852,0.011567131616175175,0.0007459045737050474,0.3348841965198517,0.9980868697166443,0.0
3,0,0.01488059014081955,0.012399079278111458,0.0007344325422309339,0.34896618127822876,0.9980868697166443,0.0
3,78,0.012298551388084888,0.010679160244762897,0.0006756387301720679,0.3049117624759674,0.9980868697166443,0.0
3,0,0.015424898825585842,0.012254027649760246,0.0007756364066153765,0.33939269185066223,0.9980868697166443,0.0
3,78,0.018267901614308357,0.013663371093571186,0.0009432237129658461,0.36925897002220154,0.9980868697166443,0.0
3,0,0.017372747883200645,0.013159136287868023,0.0008943113498389721,0.3602778911590576,0.9980868697166443,0.0
3,78,0.021410860121250153,0.014915715903043747,0.0011178007116541266,0.38615646958351135,0.9980868697166443,0.0
4,0,0.017118724063038826,0.014199374243617058,0.0009886181214824319,0.3699197471141815,0.9980868697166443,0.0
4,78,0.01615103892982006,0.01348103303462267,0.0009585880907252431,0.359191358089447,0.9980868697166443,0.0
4,0,0.016330143436789513,0.013719533570110798,0.00095663609681651,0.3663986623287201,0.9980868697166443,0.0
4,78,0.018800687044858932,0.014460476115345955,0.0011417173082008958,0.3741840720176697,0.9980868697166443,0.0
4,0,0.01652393490076065,0.013354383409023285,0.0010006140219047666,0.36039966344833374,0.9980868697166443,0.0
4,78,0.02172427996993065,0.015979861840605736,0.0013351929374039173,0.3900621235370636,0.9980868697166443,0.0
4,0,0.017521293833851814,0.013831431977450848,0.001077722292393446,0.3615766763687134,0.9980868697166443,0.0
4,78,0.02318079024553299,0.016132304444909096,0.0014397638151422143,0.3867012858390808,0.9980868697166443,0.0
4,0,0.018062468618154526,0.01393156498670578,0.0011140789138153195,0.35872524976730347,0.9980868697166443,0.0
4,78,0.01587856002151966,0.012541666626930237,0.0009740196401253343,0.3300292193889618,0.9980868697166443,0.0
5,0,0.010308920405805111,0.012722869403660297,0.0008863278781063855,0.33707934617996216,0.9980868697166443,0.0
5,78,0.014050320722162724,0.01409734133630991,0.0011070225154981017,0.3610144853591919,0.9980868697166443,0.0
5,0,0.011297444812953472,0.012396342121064663,0.0008685460197739303,0.33373022079467773,0.9980868697166443,0.0
5,78,0.013173090294003487,0.01146927010267973,0.000991770881228149,0.3188770115375519,0.9980868697166443,0.0
5,0,0.013160276226699352,0.012645683251321316,0.0009484915644861758,0.3377198874950409,0.9980868697166443,0.0
5,78,0.016899630427360535,0.013895092532038689,0.001142150373198092,0.3525111675262451,0.9980868697166443,0.0
5,0,0.013340643607079983,0.01232547964900732,0.0009754619677551091,0.3343595564365387,0.9980868697166443,0.0
5,78,0.008635125122964382,0.008383242413401604,0.0006187252001836896,0.24432802200317383,0.9980868697166443,0.0
5,0,0.013069471344351768,0.010981208644807339,0.0009468366042710841,0.31367820501327515,0.9980868697166443,0.0
5,78,0.014484633691608906,0.011438370682299137,0.0009849824709817767,0.3236570358276367,0.9980868697166443,0.0
