,after_t1,after_t2,after_t3,after_t4,after_t5
vertical,98.4,50.0,50.1,74.3,71.85
circle,,74.9,50.9,48.8,56.25
horizontal,,,98.8,74.9,71.95
diagonal,,,,99.55,74.4
xor_quadrant,,,,,69.05
