task,forgetting_phase1,forgetting_phase2,delta
vertical,49.05,26.55,-22.5
circle,51.0,18.65,-32.35
horizontal,48.75,26.85,-21.9
diagonal,50.65,25.15,-25.5
xor_quadrant,0.0,0.0,0.0
