task,forgetting_phase1,forgetting_phase2,delta
circle,49.05,21.9,-27.15
vertical,51.0,37.05,-13.95
diagonal,48.75,16.65,-32.1
horizontal,50.65,14.95,-35.7
xor_quadrant,0.0,0.0,0.0
