,after_t1,after_t2,after_t3,after_t4,after_t5
circle,75.5,51.35,50.05,50.15,53.6
vertical,,98.0,73.4,51.3,60.95
diagonal,,,98.35,76.35,81.7
horizontal,,,,98.0,83.05
xor_quadrant,,,,,61.0
