task,phase,epoch,train_loss,train_accuracy,epoch_seconds
diagonal,1,1,0.74893,49.61,1.648
diagonal,1,2,0.69279,54.3,1.376
diagonal,1,3,0.63393,82.19,1.435
diagonal,1,4,0.55845,90.7,1.355
diagonal,1,5,0.45909,94.73,1.373
vertical,2,1,0.48936,76.9,1.695
vertical,2,2,0.40544,86.03,1.765
vertical,2,3,0.32327,91.94,1.569
vertical,2,4,0.25489,95.39,1.512
vertical,2,5,0.19985,97.26,1.672
xor_quadrant,3,1,1.08073,50.78,1.867
xor_quadrant,3,2,0.9555,52.42,2.064
xor_quadrant,3,3,0.83735,53.92,2.202
xor_quadrant,3,4,0.75434,53.48,2.469
xor_quadrant,3,5,0.70596,50.6,2.057
horizontal,4,1,0.57538,63.97,1.386
horizontal,4,2,0.47778,81.1,1.378
horizontal,4,3,0.37749,92.97,1.372
horizontal,4,4,0.28277,97.36,1.369
horizontal,4,5,0.20787,98.2,1.369
circle,5,1,1.02386,51.61,1.37
circle,5,2,0.84698,54.08,1.409
circle,5,3,0.71794,57.76,1.422
circle,5,4,0.62517,59.64,1.491
circle,5,5,0.56704,63.74,1.434
