task,forgetting_phase1,forgetting_phase2,delta
diagonal,49.05,38.5,-10.55
vertical,51.0,40.2,-10.8
xor_quadrant,48.75,0.0,-48.75
horizontal,50.65,39.65,-11.0
circle,0.0,0.0,0.0
