task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,28.35,-20.7
vertical,51.0,19.25,-31.75
circle,48.75,22.1,-26.65
diagonal,50.65,21.35,-29.3
xor_quadrant,0.0,0.0,0.0
