,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.25,57.85,50.3,75.05,70.9
vertical,,93.0,49.15,75.8,73.75
circle,,,77.15,50.5,55.05
diagonal,,,,98.9,77.55
xor_quadrant,,,,,66.05
