task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,19.05,-30.0
vertical,51.0,17.9,-33.1
circle,48.75,15.4,-33.35
diagonal,50.65,19.6,-31.05
xor_quadrant,0.0,0.0,0.0
