,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,93.15,56.8,50.6,75.3,74.1
vertical,,92.05,51.65,73.95,74.15
circle,,,75.85,51.45,60.45
diagonal,,,,98.55,78.95
xor_quadrant,,,,,69.95
