task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,93.15,93.15,74.1,19.05
vertical,92.05,92.05,74.15,17.9
circle,75.85,75.85,60.45,15.4
diagonal,98.55,98.55,78.95,19.6
xor_quadrant,69.95,69.95,69.95,0.0
