task,forgetting_phase1,forgetting_phase2,delta
circle,49.05,24.25,-24.8
vertical,51.0,45.6,-5.4
xor_quadrant,48.75,9.1,-39.65
diagonal,50.65,20.6,-30.05
horizontal,0.0,0.0,0.0
