,after_t1,after_t2,after_t3,after_t4,after_t5
circle,74.9,48.15,65.75,53.65,50.65
vertical,,94.65,69.95,73.45,49.05
xor_quadrant,,,59.45,50.75,50.35
diagonal,,,,95.5,74.9
horizontal,,,,,99.35
