task,forgetting_phase1,forgetting_phase2,delta
diagonal,49.05,47.6,-1.45
horizontal,51.0,47.35,-3.65
vertical,48.75,30.9,-17.85
xor_quadrant,50.65,18.05,-32.6
circle,0.0,0.0,0.0
