,after_t1,after_t2,after_t3,after_t4,after_t5
diagonal,97.7,77.65,94.2,82.15,50.1
horizontal,,98.15,70.1,75.55,50.8
vertical,,,79.8,74.25,48.9
xor_quadrant,,,,68.05,50.0
circle,,,,,77.4
