task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.24302,89.55,0.659
horizontal,1,2,0.03818,98.74,0.37
horizontal,1,3,0.02716,99.07,0.543
horizontal,1,4,0.01888,99.24,0.371
horizontal,1,5,0.01646,99.48,0.338
vertical,2,1,0.65656,84.35,0.357
vertical,2,2,0.04235,98.88,0.34
vertical,2,3,0.02064,99.56,0.34
vertical,2,4,0.02222,99.35,0.341
vertical,2,5,0.01339,99.62,0.338
circle,3,1,0.83096,69.41,0.341
circle,3,2,0.29064,87.63,0.335
circle,3,3,0.08456,97.08,0.335
circle,3,4,0.05746,97.87,0.34
circle,3,5,0.06921,97.43,0.337
diagonal,4,1,0.32707,91.71,0.349
diagonal,4,2,0.05394,98.09,0.399
diagonal,4,3,0.03497,99.04,0.393
diagonal,4,4,0.03315,98.91,0.376
diagonal,4,5,0.04116,98.48,0.401
xor_quadrant,5,1,0.7432,72.54,0.386
xor_quadrant,5,2,0.23476,91.87,0.375
xor_quadrant,5,3,0.08257,96.93,0.401
xor_quadrant,5,4,0.05392,98.09,0.384
xor_quadrant,5,5,0.04566,98.35,0.383
