,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.15,50.1,48.15,75.7,51.65
vertical,,99.6,49.45,74.3,49.75
circle,,,97.65,49.2,50.35
diagonal,,,,99.8,51.35
xor_quadrant,,,,,99.05
