,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.8,49.95,50.75,74.95,74.05
vertical,,99.55,49.05,74.55,73.75
circle,,,95.0,50.1,61.5
diagonal,,,,99.4,73.3
xor_quadrant,,,,,73.2
