task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.57033,79.74,1.733
horizontal,1,2,0.24291,94.8,1.026
horizontal,1,3,0.06985,99.53,1.061
horizontal,1,4,0.03527,99.55,0.997
horizontal,1,5,0.02363,99.49,1.082
vertical,2,1,1.05085,62.16,1.029
vertical,2,2,0.30117,90.35,0.959
vertical,2,3,0.12605,97.33,0.938
vertical,2,4,0.06338,98.81,0.964
vertical,2,5,0.03963,99.27,0.986
circle,3,1,1.11975,58.56,0.965
circle,3,2,0.50861,76.56,0.902
circle,3,3,0.42895,78.24,0.927
circle,3,4,0.30626,90.21,0.892
circle,3,5,0.20556,94.71,0.896
diagonal,4,1,0.34739,86.76,0.902
diagonal,4,2,0.12516,97.74,0.875
diagonal,4,3,0.07975,98.91,0.895
diagonal,4,4,0.05283,99.14,0.88
diagonal,4,5,0.04013,99.22,0.878
xor_quadrant,5,1,1.24875,66.56,0.901
xor_quadrant,5,2,0.61988,68.72,0.899
xor_quadrant,5,3,0.58104,70.08,0.934
xor_quadrant,5,4,0.55544,71.31,0.893
xor_quadrant,5,5,0.51919,72.57,0.91
