task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,25.75,-23.3
vertical,51.0,25.8,-25.2
circle,48.75,33.5,-15.25
diagonal,50.65,26.1,-24.55
xor_quadrant,0.0,0.0,0.0
