task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,99.65,99.65,49.35,50.3
vertical,99.8,99.8,49.05,50.75
circle,98.75,98.75,50.95,47.8
diagonal,98.4,98.4,50.85,47.55
xor_quadrant,99.65,99.65,99.65,0.0
