,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.3,92.05,51.1,79.3,49.8
xor_quadrant,,52.25,50.8,52.2,49.2
circle,,,74.9,55.9,49.1
diagonal,,,,92.65,74.75
vertical,,,,,99.4
