task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,48.5,-0.55
xor_quadrant,51.0,3.05,-47.95
circle,48.75,25.8,-22.95
diagonal,50.65,17.9,-32.75
vertical,0.0,0.0,0.0
