task,forgetting_phase1,forgetting_phase2,delta
circle,49.05,24.25,-24.8
vertical,51.0,49.25,-1.75
xor_quadrant,48.75,11.1,-37.65
diagonal,50.65,21.5,-29.15
horizontal,0.0,0.0,0.0
