,after_t1,after_t2,after_t3,after_t4,after_t5
circle,74.9,48.9,71.45,52.85,50.65
vertical,,98.2,67.95,74.25,48.95
xor_quadrant,,,61.45,49.85,50.35
diagonal,,,,96.3,74.8
horizontal,,,,,99.35
