,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.75,49.8,51.1,74.25,49.25
vertical,,98.2,49.9,75.25,49.25
circle,,,97.65,49.9,49.4
diagonal,,,,99.5,48.1
xor_quadrant,,,,,99.6
